Name,Value,Min,Max,Type,Description
=== Strategy Config ===,,,,,
Enable Long Trades,TRUE,,,bool,Allow long entries
Enable Short Trades,TRUE,,,bool,Allow short entries
Max Open Trades,1,1,1,int,Max concurrent trades
Transaction Cost (Per Trade),15,15,15,float,Friction per round-trip
Timeframe (minutes),5,3,15,int,Bar size for VWAP regime logic
=== Session Timing ===,,,,,
Opening Range (minutes),30,15,45,int,OR window from RTH open
Min OR Width (pts),4,2,12,float,Skip dead sessions (OR too tight)
Max OR Width (pts),40,20,55,float,Skip chaotic opens (OR too wide)
Trade Start After OR (min),15,0,45,int,Buffer after OR before entries
Trade End Before RTH Close (min),30,15,90,int,Stop new trades N min before close
Max Entries Per Day,3,2,5,int,Cap entries per session (~handful/day)
=== Regime Classifier ===,,,,,
Enable ADX Filter,1,0,1,int,ADX gates for trend vs range
ADX Period,14,10,21,int,ADX lookback
Min Trend ADX,20,15,28,float,Trend-day floor (pullback mode)
Max Range ADX,22,15,28,float,Range-day cap (fade mode)
Min ATR (pts),1,0.5,3,float,Min volatility to trade
Max ATR (pts),25,10,40,float,Max volatility (crisis skip)
Trend Side Pct,0.62,0.55,0.75,float,Fraction of post-OR bars on one VWAP side
Min VWAP Crosses,2,1,4,int,Range day: min VWAP crosses since OR
=== Trend: VWAP Pullback ===,,,,,
Pullback Touch Buffer (pts),1.0,0.25,3,float,Touch zone around VWAP
Pullback Confirm Bars,1,1,3,int,Rejection bars at VWAP
Trend Target R Multiple,1.5,1.0,3.0,float,TP = entry +/- R * risk
=== Range: VWAP Deviation Fade ===,,,,,
Min VWAP Extension (pts),8,4,18,float,Min distance from VWAP before fade
Fade Band ATR Multiplier,1.75,1.2,2.5,float,ATR band around VWAP for extension
Fade Confirm Bars,2,1,3,int,Bars reverting toward VWAP
=== RTH / Maintenance ===,,,,,
Enable RTH Filter,1,1,1,int,LOCKED: RTH session only
RTH Start (HH:MM),09:30,,,str,RTH open Eastern
RTH End (HH:MM),16:00,,,str,RTH close Eastern
RTH Exit Buffer (minutes),15,10,30,int,Force flat before close
Enable Maintenance Filter,1,1,1,int,LOCKED: maintenance windows
Daily Maintenance Start (HH:MM),17:00,,,str,Daily maintenance start
Daily Maintenance End (HH:MM),17:30,,,str,Daily maintenance end
Weekend Maintenance Start Day,4,4,4,int,Friday
Weekend Maintenance Start Time (HH:MM),17:00,,,str,Friday maintenance start
Weekend Maintenance End Day,6,6,6,int,Sunday
Weekend Maintenance End Time (HH:MM),18:00,,,str,Sunday maintenance end
Maintenance Buffer Minutes,15,5,30,int,Buffer around maintenance
=== Exit Logic ===,,,,,
