Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,20,20,20,20,6,6,6,6,6,6,6,6,6,19,19,19,19,19,19,19,19,19,19
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),0.2961,0.3389,0.1,0.1,1.8983,1.9307,1.895,1.9348,1.8909,1.8865,1.9486,1.9392,1.8958,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),1.0937,0.0,1.2178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9209,1.8602,1.8505,1.7717,1.8833,1.7341,1.9765,1.7898,1.9209,1.9209
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),0.0,0.2286,0.1213,0.3499,0.3326,0.4526,0.6317,0.7478,0.3365,0.3322,0.331,0.3415,0.3217,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),14,13,14,13,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,8.45,8.6227,8.4048,8.5775,9.8044,9.8071,9.8074,9.8071,9.8074,9.8068,9.8051,9.8077,9.8042,7.5819,7.4938,7.5566,7.4475,7.6258,7.4915,7.5589,7.4685,7.5819,7.5819
