Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger Band Length,30,10,100,int,Lookback period for BB,10,10,10,10,10,10,12,10,10,10,10,10,10,14,14,10,10,10,10,10,10,10,11,10,26,11,22,13,10,10,17,21,17,15,25,14,24,25,25,10,15,23,27,27,15,20,21,23,28,58,74,74
Bollinger Band StdDev,2.0,1.5,3.0,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),2.883,2.5506,2.6222,2.5805,2.7439,2.6112,2.7898,2.2443,2.4577,2.2443,2.6662,2.3359,2.4916,2.6462,2.6369,2.3198,2.3381,2.3425,2.3098,2.3381,2.311,2.3583,2.4886,2.2444,2.8323,2.3163,2.7394,2.382,2.2645,2.2499,2.3686,2.7418,2.4876,2.4783,2.5507,2.2572,2.5373,2.5507,2.5507,2.1426,2.2634,2.4476,2.5405,2.4703,2.3652,2.2215,2.1548,1.9845,1.933,1.8177,1.613,1.6112
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Long Trigger (% From Lower Band),0.5,0,2.0,float,% below lower band to trigger (min 0.5% to avoid band extremes),0.0003,0.0001,0.0004,0.0003,0.0013,0.0039,0.0005,0.0,0.0019,0.0,0.0009,0.0009,0.0032,0.0,0.0,0.0,0.0012,0.0,0.0,0.0012,0.0006,0.0,0.0001,0.0016,0.0028,0.0021,0.0028,0.0014,0.0,0.0001,0.001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
