Name,Value,Min,Max,Type,Description
=== Strategy Config ===,,,,,
Enable Long Trades,TRUE,,,bool,Allow long entries
Enable Short Trades,TRUE,,,bool,Allow short entries
Max Open Trades,1,1,1,int,Max concurrent trades
Transaction Cost (Per Trade),15,15,15,float,Friction per round-trip
Timeframe (minutes),5,3,15,int,Bar size for ORB logic
=== Entry: ORB Breakout + Acceptance ===,,,,,
Opening Range (minutes),30,15,60,int,OR window from RTH open
Acceptance Bars,2,1,4,int,Consecutive closes beyond OR before entry
Breakout Buffer (pts),0.5,0,3,float,Min close beyond OR high/low
ATR Length,14,7,21,int,ATR period for stops and regime
Min OR Width (pts),6,3,15,float,Skip dead sessions (OR too tight)
Max OR Width (pts),45,25,70,float,Skip chaotic opens (OR too wide)
Trade Start After OR (min),0,0,30,int,Extra buffer after OR before entries
Trade End Before RTH Close (min),30,15,90,int,Stop new trades N min before close
Max Entries Per Day,1,1,2,int,Cap ORB attempts per session day
=== Regime Filters ===,,,,,
Enable ADX Filter,1,0,1,int,Momentum-day filter (min ADX)
ADX Period,14,10,21,int,ADX lookback
Min ADX Threshold,18,12,28,float,Trade breakouts when ADX above floor
Max ADX Threshold,45,30,60,float,Skip exhausted trends
Min ATR (pts),1,0.5,3,float,Min volatility to trade
Max ATR (pts),25,10,40,float,Max volatility (crisis skip)
Enable VWAP Filter,1,0,1,int,Long above VWAP / short below VWAP
Enable RTH Filter,1,1,1,int,LOCKED: RTH session only
RTH Start (HH:MM),09:30,,,str,RTH open Eastern
RTH End (HH:MM),16:00,,,str,RTH close Eastern
RTH Exit Buffer (minutes),15,10,30,int,Force flat before close
Enable Maintenance Filter,1,1,1,int,LOCKED: maintenance windows
Daily Maintenance Start (HH:MM),17:00,,,str,Daily maintenance start
Daily Maintenance End (HH:MM),17:30,,,str,Daily maintenance end
Weekend Maintenance Start Day,4,4,4,int,Friday
Weekend Maintenance Start Time (HH:MM),17:00,,,str,Friday maintenance start
Weekend Maintenance End Day,6,6,6,int,Sunday
Weekend Maintenance End Time (HH:MM),18:00,,,str,Sunday maintenance end
Maintenance Buffer Minutes,15,5,30,int,Buffer around maintenance
=== Exit Logic ===,,,,,
Stop ATR Multiplier,1.25,0.8,2.0,float,ATR stop distance
Use Opposite OR Stop,1,0,1,int,Also anchor stop at opposite OR side
OR Stop Buffer (pts),0.5,0,2,float,Buffer beyond opposite OR for stop
Target OR Width Multiple,1.0,0.5,2.5,float,TP = entry +/- k * OR width
Max Hold (bars),48,24,96,int,Time stop (~2-8h at TF=5-15)
Enable Trailing Stop,0,0,1,int,Optional ATR trail after delay
