Name,Value,Min,Max,Type,Description
=== Strategy Config ===,,,,,
Enable Long Trades,TRUE,,,bool,Allow long entries
Enable Short Trades,TRUE,,,bool,Allow short entries
Max Open Trades,1,1,1,int,Max concurrent trades (1 means FIFO/Replace)
Transaction Cost (Per Trade),15,15,15,float,Estimated friction per trade (Slippage + Commissions)
Timeframe (minutes),12,8,16,int,Phase-2 explore: away from failed TF=20-23 corner
=== Entry Logic (core Donchian — filters OFF) ===,,,,,
Buy Lookback,12,5,40,int,Fallback bars when minutes row absent
Sell Lookback,12,5,40,int,Fallback bars when minutes row absent
Buy Lookback (minutes),180,90,360,float,Balanced wall-clock lookback (not 600-max corner)
Sell Lookback (minutes),180,90,360,float,Balanced wall-clock lookback (not 600-max corner)
Enable ADX Filter,0,0,0,int,FIXED OFF — test core breakout without filter stack
ADX Period,14,14,14,int,Unused when ADX off
Min ADX Threshold,20,20,20,float,Unused when ADX off
ATR Filter Period,14,14,14,int,FIXED — no vol gate in phase 2
Min ATR (Points),0,0,0,float,FIXED OFF — allow all volatility
Enable SMA Filter,0,0,0,int,FIXED OFF
SMA Period,200,200,200,int,Unused when SMA off
Enable Volume Filter,0,0,0,int,FIXED OFF
Volume MA Length,20,20,20,int,Unused when volume off
Min Volume Multiplier,1.2,1.2,1.2,float,Unused when volume off
Enable RSI Filter,0,0,0,int,FIXED OFF
RSI Period,14,14,14,int,Unused when RSI off
RSI Max Buy Threshold,70,70,70,float,Unused when RSI off
RSI Min Sell Threshold,30,30,30,float,Unused when RSI off
Enable VWAP Filter,0,0,0,int,FIXED OFF
RTH Start (HH:MM),09:30:00 AM,09:30:00 AM,09:30:00 AM,str,Regular trading hours start (Eastern)
RTH End (HH:MM),04:00:00 PM,04:00:00 PM,04:00:00 PM,str,Regular trading hours end (Eastern)
Enable RTH Filter,0,0,0,int,FIXED OFF — 24h signal gen like GA window
RTH Exit Buffer (minutes),30,30,30,int,Unused when RTH filter off
Enable Maintenance Filter,TRUE,FALSE,TRUE,bool,Exit positions before maintenance periods
Daily Maintenance Start (HH:MM),05:00:00 PM,05:00:00 PM,05:00:00 PM,str,Daily maintenance start (Eastern)
Daily Maintenance End (HH:MM),05:30:00 PM,05:30:00 PM,05:30:00 PM,str,Daily maintenance end (Eastern)
Weekend Maintenance Start Day,4,4,4,int,Weekend maintenance start day (4=Friday for ES)
Weekend Maintenance Start Time (HH:MM),05:00:00 PM,05:00:00 PM,05:00:00 PM,str,Weekend maintenance start time (Eastern)
Weekend Maintenance End Day,6,6,6,int,Weekend maintenance end day (6=Sunday for ES)
