Name,Value,Min,Max,Type,Description
=== Strategy Config ===,,,,,
Enable Long Trades,TRUE,,,bool,Allow long entries
Enable Short Trades,TRUE,,,bool,Allow short entries
Max Open Trades,1,1,1,int,Max concurrent trades
Transaction Cost (Per Trade),15,15,15,float,Friction per round-trip
Timeframe (minutes),5,3,15,int,Bar size for session logic
=== Entry: VWAP Mean Reversion ===,,,,,
Min VWAP Extension (pts),10,6,24,float,Min distance from VWAP before fade (v2 wider buffer)
Entry Band ATR Multiplier,1.5,0.8,3,float,ATR band around VWAP for extension
Reversion Confirm Bars,2,1,3,int,Consecutive bars reverting toward VWAP before entry
ATR Length,14,7,21,int,ATR period for bands and stops
Opening Range (minutes),30,15,60,int,OR window from RTH open
Min OR Width (pts),4,2,12,float,Skip dead sessions (OR too tight)
Max OR Width (pts),35,20,60,float,Skip trend days (OR too wide)
Trade Start After OR (min),0,0,30,int,Extra buffer after OR before entries
Trade End Before RTH Close (min),30,15,60,int,Stop new trades N min before close
=== Regime Filters ===,,,,,
Enable ADX Filter,1,0,1,int,Range-day filter (ADX cap)
ADX Period,14,10,21,int,ADX lookback
Max ADX Threshold,22,15,28,float,Trade mean reversion when ADX below cap (v2 tighter max)
Min ATR (pts),1,0.5,3,float,Min volatility to trade
Max ATR (pts),25,10,40,float,Max volatility (crisis skip)
Enable RTH Filter,1,1,1,int,LOCKED: RTH session only
RTH Start (HH:MM),09:30,,,str,RTH open Eastern
RTH End (HH:MM),16:00,,,str,RTH close Eastern
RTH Exit Buffer (minutes),15,10,30,int,Force flat before close
Enable Maintenance Filter,1,1,1,int,LOCKED: maintenance windows
Daily Maintenance Start (HH:MM),17:00,,,str,Daily maintenance start
Daily Maintenance End (HH:MM),17:30,,,str,Daily maintenance end
Weekend Maintenance Start Day,4,4,4,int,Friday
Weekend Maintenance Start Time (HH:MM),17:00,,,str,Friday maintenance start
Weekend Maintenance End Day,6,6,6,int,Sunday
Weekend Maintenance End Time (HH:MM),18:00,,,str,Sunday maintenance end
Maintenance Buffer Minutes,15,5,30,int,Buffer around maintenance
=== Exit Logic ===,,,,,
Stop ATR Multiplier,1.0,0.8,1.5,float,Initial stop distance (v2 capped; was 2.5 max)
TP VWAP Buffer (pts),0.5,0,2,float,Exit when within N pts of VWAP (v2 tighter)
Max Hold (bars),48,24,96,int,Time stop (~2-8h at TF=5-15; v2 longer hold band)
Enable Trailing Stop,0,0,1,int,Optional ATR trail after delay
Trailing Delay (bars),3,2,8,int,Bars before trail ratchet
ATR Multiplier for Trailing Stop,2,1.5,3.5,float,Trail distance if enabled
=== GA Criteria ===,,,,,
POP_SIZE,400,400,400,int,Population
