Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92,Solution_93,Solution_94,Solution_95,Solution_96,Solution_97,Solution_98,Solution_99
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,15,11,16,1,14,9,30,17,30,5,22,30,1,26,13,15,15,15,12,12,1,30,10,21,17,20,10,10,24,22,1,1,23,27,16,15,15,16,2,30,1,17,15,25,1,20,12,17,14,15,30,6,26,1,17,20,15,21,25,1,30,20,13,15,14,16,8,26,1,30,7,15,5,22,1,16,15,14,16,8,26,10,26,6,5,24,1,22,4,28,3,16,14,15,15,25,26,4,29,30
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),2.6292,2.2453,2.3694,1.3719,2.3889,2.483,2.7851,0.9545,0.1,2.2809,4.0,4.0,0.1,1.5568,0.2517,2.2385,2.5096,2.347,2.2677,2.3281,1.4326,2.9287,2.3394,3.3681,0.9545,0.7233,2.3318,1.9825,0.1,4.0,2.7923,4.0,0.1,0.1,2.1451,2.6006,2.2561,2.2355,3.1823,3.2509,2.4566,1.0377,2.2581,0.3108,2.961,0.1,1.7085,2.4953,2.2504,2.2975,1.1791,3.1944,3.2387,2.6382,1.0377,0.7233,2.2581,3.7582,0.3108,4.0,0.1,0.1,4.0,1.7614,2.6117,2.1941,2.3604,3.1348,2.6382,0.1,1.4129,2.2581,2.0562,0.9553,2.961,0.2038,1.6667,1.8466,2.9592,2.3604,3.1348,1.2388,3.191,2.6308,2.0562,3.1137,3.365,0.8225,2.2729,0.1,3.1935,0.1,2.811,1.2583,1.6646,1.6631,3.191,0.3944,2.1552,0.1
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),1.2613,1.3841,1.3664,1.4411,1.8774,0.8862,0.5352,0.693,0.855,0.6571,1.2033,1.9882,1.5225,1.6269,1.579,1.2668,1.2981,1.3217,1.4288,2.0,1.3185,0.8126,0.6087,0.6648,0.693,1.5472,0.4818,1.0109,0.5012,1.5524,1.3051,1.9953,1.5153,1.6236,1.2805,1.3453,1.2745,1.9412,0.6779,0.5418,0.7318,0.693,0.9808,2.0,1.4388,1.5213,1.5823,1.4866,1.1472,1.2157,1.4532,0.4898,0.73,0.7318,0.6327,1.1795,0.9808,0.0536,2.0,1.8617,1.6176,1.5213,1.4566,0.8203,1.5426,2.0,1.3507,0.3174,0.7957,0.7793,1.1724,1.2189,0.5119,1.9656,1.8124,1.2635,0.6369,2.0,1.6618,1.2169,0.3174,1.6257,0.73,1.276,0.207,0.1287,1.9225,2.0,1.6609,2.0,1.1295,1.1986,0.8014,1.9091,1.704,0.3141,0.73,0.7594,0.8156,1.8484
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0
