"Name","Value","Min","Max","Type","Description"
"__indicatorName","BB Strategy",,,,"Strategy identifier"
"Max Open Trades",1,1,1,"int","Maximum concurrent positions"
"Transaction Cost (Per Trade)",20.0,0,100,"float","Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5"
"Enable Long Trades",true,false,true,"bool","Allow long entries"
"Enable Short Trades",true,false,true,"bool","Allow short entries"
"Bollinger Band Length",30,10,100,"int","Lookback period for BB"
"Bollinger Band StdDev",2.0,1.0,3.0,"float","StdDev multiplier for BB width"
"Long Entry on Wick Touch",false,false,true,"bool","Enter if low touches lower band"
"Long Entry on Body in Zone",true,false,true,"bool","Enter if close is at/near lower band"
"Long Trigger (% From Lower Band)",0.0,0.0,2.0,"float","% below lower band to trigger (0 = at band)"
"Short Entry on Wick Touch",false,false,true,"bool","Enter if high touches upper band"
"Short Entry on Body in Zone",true,false,true,"bool","Enter if close is at/near upper band"
"Short Trigger (% From Upper Band)",0.0,0.0,2.0,"float","% above upper band to trigger (0 = at band)"
"Initial Stop Loss (%)",0.5,0.1,2.0,"float","Fixed stop loss in percent"
"Enable Trailing Stop",true,false,true,"bool","Use ATR-based trailing stop"
"ATR Length for Trailing Stop",26,10,100,"int","ATR period for trailing stop"
"ATR Multiplier for Trailing Stop",3.0,1.0,5.0,"float","ATR multiplier for trailing stop distance"
"Opposite Bollinger Band Take Profit",true,false,true,"bool","Exit when price hits opposite band"
"ATR for Take Profit",false,false,true,"bool","Use ATR-based fixed take profit"
"ATR Length for Take Profit",26,10,100,"int","ATR period for TP"
"ATR Multiplier for Take Profit",2.0,1.0,6.0,"float","ATR multiplier for TP target"
