Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger Band Length,30,1,30,int,Lookback period for BB,16,16,16,16,16,16,16,17,16,17,17,17,16,17,16,16,16,16,16,16,16,16,16,17,17,20,17,17,17,17,17,17,17,21,17,16,16,17,17,17,16,17,17,17,17,17,17,17,17,17,16,16,17,17,17,17,17,17,16,17,17,17,17,17,17,17,19,18,23,18,18,18,18,18,18,18,19,17,15,18,15,15,15,15,15,15,15,15,15
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),1.737,1.733,1.733,1.733,1.733,1.7375,1.7432,1.7135,1.7334,1.6936,1.693,1.693,1.7334,1.5767,1.7417,1.7417,1.7417,1.7417,1.7417,1.7309,1.7488,1.7488,1.7488,1.6932,1.6955,1.738,1.6932,1.6932,1.6929,1.6932,1.6945,1.695,1.6948,1.6991,1.6889,1.737,1.7283,1.6956,1.698,1.698,1.7371,1.6935,1.6898,1.6898,1.6898,1.6898,1.6954,1.5786,1.6894,1.6917,1.753,1.7375,1.6615,1.6898,1.6615,1.6941,1.6935,1.6166,1.753,1.6949,1.6949,1.6949,1.708,1.6949,1.6949,1.6324,1.7382,1.8026,1.8182,1.8026,1.8026,1.8026,1.8026,1.8026,1.8026,1.8026,1.6739,1.7209,1.9362,1.7326,1.9789,1.9789,1.9789,1.9789,1.9789,1.9789,1.9789,1.9789,1.9789
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),0.013,0.0134,0.0134,0.0134,0.0134,0.013,0.0126,0.0153,0.0135,0.0126,0.0126,0.0126,0.0135,0.0161,0.0129,0.0129,0.0129,0.0129,0.0129,0.0128,0.0129,0.0129,0.0129,0.0126,0.0126,0.0157,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0115,0.0105,0.0129,0.0114,0.0126,0.0126,0.0126,0.0129,0.0126,0.0109,0.0109,0.0109,0.0109,0.0126,0.0126,0.0114,0.0078,0.0127,0.0129,0.0126,0.0109,0.0126,0.0126,0.0126,0.0126,0.0127,0.0126,0.0126,0.0126,0.0056,0.0126,0.0126,0.0126,0.01,0.0073,0.0013,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0093,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
