Name,Value,Min,Max,Type,Description
=== Strategy Config ===,,,,,Paper fidelity HIGH-FREQ soak from Sol94 deploy | Dissipation lowered (activity-only knobs cannot reach 3-4 t/d) | Strength Threshold: 4.919 -> 1.0; Entry Headroom (ATR): 0.7602 -> 0.0; Maintenance Entry Buffer (minutes): 106 -> 30; Timeframe (minutes): 7 -> 5; Dissipation (per bar): 1.0128 -> 0.2
Enable Long Trades,1,0,1,int,Allow longs (optimizable)
Enable Short Trades,1,0,1,int,Allow shorts (two-sided)
Max Open Trades,1,1,1,int,LOCKED one position
Transaction Cost (Per Trade),15.0,15,15,float,Friction per round-trip
Timeframe (minutes),5,3,15,int,Bar size (optimized) [paper-fidelity-highfreq vs Sol94 -> 5]
=== Entry: Multi-zone S/R Breakout ===,,,,,
Zone Width ATR Mult,0.4571,0.15,0.80,float,Half-width k of zone around wick extreme
Strength Threshold,1.0,1.0,6.0,float,Min zone strength for breakout entry [paper-fidelity-highfreq vs Sol94 -> 1.0]
Volume Mult,1.0,1.0,2.5,float,Entry volume >= mult x volume MA [paper-fidelity-highfreq vs Sol94 -> 1.0]
Dissipation (per bar),0.2,0.05,2.0,float,Linear strength loss per bar (max(0 strength - d)) [paper-fidelity-highfreq vs Sol94 -> 0.2]
Stop Pad ATR,0.3183,0.0,0.50,float,Stop beyond origin zone edge in ATR
Max Hold (bars),49,6,60,int,Time exit
Min Opposite Zone Dist (ATR),0.5,0.5,0.5,float,LOCKED min room entry→opposite zone (ATR); blocks micro post-entry TP
Entry Headroom (ATR),0.0,0.0,2.5,float,Min clearance entry→next strong opposite zone (ATR); 0=off; overlap-aware [paper-fidelity-highfreq vs Sol94 -> 0.0]
=== Filters ===,,,,,
Enable RTH Filter,1,1,1,int,LOCKED RTH only
RTH Start (HH:MM),09:30,,,str,RTH open Eastern
RTH End (HH:MM),16:00,,,str,RTH close Eastern
RTH Exit Buffer (minutes),5,5,5,int,LOCKED flatten before close
Enable Maintenance Filter,1,1,1,int,LOCKED
Daily Maintenance Start (HH:MM),17:00,,,str,Daily maintenance start
Daily Maintenance End (HH:MM),17:30,,,str,Daily maintenance end
Weekend Maintenance Start Day,4,4,4,int,Friday
Weekend Maintenance Start Time (HH:MM),17:00,,,str,Friday maintenance start
Weekend Maintenance End Day,6,6,6,int,Sunday
Weekend Maintenance End Time (HH:MM),18:00,,,str,Sunday maintenance end
Maintenance Buffer Minutes,44,5,60,int,Exit force-flat buffer before maintenance (minutes)
Maintenance Entry Buffer (minutes),30,30,240,int,Block new entries within N min of maint/RTH force-flat [paper-fidelity-highfreq vs Sol94 -> 30]
=== Exit Logic ===,,,,,
Enable Stop Loss,1,1,1,int,LOCKED origin-zone stop on
Stop ATR Multiplier,1.0,1.0,1.0,float,Unused (stop from zone edge + pad)
Enable Take Profit,0,0,0,int,LOCKED off (opposite-zone exit)
Take Profit ATR Multiplier,2.0,2.0,2.0,float,Unused
Enable Trailing Stop,0,0,0,int,LOCKED off (classic ATR trail)
Trailing Delay (bars),1,1,1,int,Unused
ATR Multiplier for Trailing Stop,2.0,2.0,2.0,float,Unused
Enable Breakeven Stop,0,0,1,int,After MFE>=trigger ATR move stop to entry+/-pad
Breakeven Trigger (ATR),1.0712,0.25,2.0,float,MFE in ATR units before arming breakeven stop
Breakeven Pad (ATR),0.0,0.0,0.0,float,LOCKED pad beyond entry when BE arms (0=exact entry)
=== GA Criteria ===,,,,,
POP_SIZE,150,150,150,int,Short diagnostic pop
NUM_GEN,25,25,25,int,Short diagnostic gens
CX_PB,0.5,0.5,0.5,float,Crossover
MUT_PB,0.4,0.4,0.4,float,Mutation
MUT_MU,0.0,0,0,float,Mutation mean
MUT_SIGMA,0.3,0.3,0.3,float,Mutation sigma
