Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79
=== Strategy Config ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,1,0,1,int,Allow longs (optimizable),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
Enable Short Trades,1,0,1,int,Allow shorts (two-sided),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Max Open Trades,1,1,1,int,LOCKED one position,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transaction Cost (Per Trade),15,15,15,float,Friction per round-trip,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Timeframe (minutes),5,3,15,int,Bar size (optimized),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,7,7,11,11,7,7,11,7,11,7,7,11,11,11,11,11,11,7,11,7,7,11,11,11,7,11,11,11,7
=== Entry: Multi-zone S/R Breakout ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Width ATR Mult,0.35,0.15,0.80,float,Half-width k of zone around wick extreme,0.7864,0.7113,0.7113,0.7113,0.7113,0.7611,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7122,0.7113,0.7113,0.7113,0.7113,0.7113,0.7325,0.7113,0.7113,0.715,0.7735,0.745,0.7408,0.7113,0.7085,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.7113,0.689,0.8,0.7887,0.689,0.689,0.7887,0.7735,0.6934,0.8,0.6922,0.8,0.6916,0.6921,0.6929,0.6929,0.6929,0.6929,0.6921,0.7113,0.6929,0.7153,0.7153,0.689,0.689,0.6929,0.7724,0.6921,0.6929,0.6921,0.7724
Strength Threshold,2.0,1.0,6.0,float,Min zone strength for breakout entry,2.4124,2.7669,2.8539,2.646,2.643,2.4571,2.5251,2.5964,2.5935,2.5935,2.5935,2.6618,2.5837,2.5315,2.5935,2.7958,2.5964,2.3574,2.3243,2.5702,2.5702,2.3223,2.2297,2.345,2.6012,2.5983,2.396,1.8927,2.0322,2.1745,1.2402,2.8789,2.1462,1.9266,1.2497,2.2609,2.1255,2.0506,2.0585,2.0322,2.0012,2.0322,2.0322,2.0247,2.0322,2.011,2.0322,2.0322,1.9357,2.5941,1.2672,1.757,2.0644,1.242,1.0,2.0644,3.3257,3.1735,2.0951,2.5524,2.0224,2.7256,1.7959,3.2944,3.2806,2.5354,3.2069,1.9828,2.0322,2.9603,2.5473,2.5473,1.2132,1.2132,2.9603,1.6921,1.9675,2.4007,1.9828,1.6921
Volume Mult,1.25,1.0,2.5,float,Entry volume >= mult x volume MA,1.0007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0162,1.0,1.0128,1.0,1.0,1.0,1.4034,1.0161,1.0089,1.393,1.393,1.0089,1.0225,1.2207,1.0073,1.0,1.0073,1.0,1.1156,1.0,1.0,1.4034,1.0,1.0739,1.0,1.0,1.0,1.0116,1.0,1.0,1.0,1.0097,1.0531,1.0,1.0,1.0
