Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger Band Length,30,10,100,int,Lookback period for BB,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,37,22,43,93,81,22,59,53,36,23,20,37,78,38,59,75,96,28,12,31,56,40,90,24,38,22,50,16,66,15,66,34,47,38,78,30,17,31,92,77,90,33,70,43,68,21,21,72,69
Bollinger Band StdDev,2.0,1.5,3.0,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),1.5,1.5,1.5,1.6336,1.58,1.6395,1.58,1.58,1.6392,1.58,1.58,1.58,1.58,1.58,1.58,1.6375,1.6399,1.6375,1.6456,1.6438,1.6393,1.6469,1.6441,1.6449,1.6431,1.6403,1.6424,2.0402,2.7785,2.3308,2.8837,1.7545,2.1836,1.6314,2.9234,2.3775,1.6634,2.7117,1.5476,2.6322,1.6463,2.319,2.6307,2.4195,2.5339,1.8773,2.0866,2.2491,2.9519,2.2511,1.5549,2.06,2.8086,2.1212,2.0885,1.6884,2.6525,2.889,2.0918,1.7064,2.0738,2.6996,2.55,1.968,1.9951,2.5704,2.6704,1.6395,2.8298,2.7946,2.9609,1.7611,2.3148,2.1145,2.4798,2.6198
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1
Long Trigger (% From Lower Band),0.5,0,2.0,float,% below lower band to trigger (min 0.5% to avoid band extremes),0.0289,0.0289,0.0289,0.0,0.0289,0.0,0.0289,0.0289,0.0,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2986,1.659,0.0453,1.3457,0.4395,0.7619,0.4283,0.506,0.7089,1.7917,0.0529,0.4543,0.4282,1.4492,0.5684,0.3392,1.0342,1.7578,1.7072,1.1098,0.36,1.5896,1.8876,0.279,1.5991,0.4737,1.0822,0.3752,1.2738,1.0011,0.2579,0.8574,0.4745,1.3774,0.5516,0.4149,1.8107,0.9884,1.2945,0.8019,1.9336,0.8988,1.1409,1.4892,0.3422,1.1102,0.9754,0.3198,0.1077
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0
