Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78
=== Strategy Config ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,1,0,1,int,Allow longs (optimizable),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Enable Short Trades,1,0,1,int,Allow shorts (two-sided),1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Max Open Trades,1,1,1,int,LOCKED one position,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transaction Cost (Per Trade),15,15,15,float,Friction per round-trip,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Timeframe (minutes),5,3,15,int,Bar size (optimized),12,12,12,12,14,7,12,12,12,12,12,7,7,7,7,7,7,7,7,12,10,12,12,12,10,10,10,12,12,12,14,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
=== Entry: Multi-zone S/R Breakout ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Width ATR Mult,0.35,0.15,0.80,float,Half-width k of zone around wick extreme,0.6283,0.6283,0.6283,0.5784,0.7577,0.6242,0.6283,0.6283,0.6283,0.6397,0.6397,0.6242,0.6242,0.6242,0.6242,0.6242,0.6242,0.6242,0.6242,0.5784,0.7419,0.6106,0.6136,0.6283,0.7419,0.7419,0.7419,0.6106,0.6106,0.6106,0.7577,0.6152,0.6152,0.6106,0.6106,0.7577,0.6099,0.5872,0.6139,0.5919,0.6147,0.615,0.6259,0.5566,0.6306,0.6306,0.6381,0.6381,0.6152,0.5672,0.57,0.5723,0.6268,0.6268,0.6152,0.5476,0.6152,0.6152,0.6383,0.6383,0.6382,0.6383,0.581,0.581,0.5894,0.5388,0.5388,0.5388,0.6149,0.4194,0.4016,0.5235,0.6462,0.6143,0.5213,0.6143,0.6143,0.6259,0.6139
Strength Threshold,2.0,1.0,6.0,float,Min zone strength for breakout entry,4.1703,4.1703,4.1703,3.6193,3.7498,4.8449,4.1703,4.1703,4.1703,4.1775,4.1775,5.2692,5.2692,5.2692,5.2692,5.2692,5.2692,5.2692,5.2692,3.6193,5.3753,3.5213,3.5499,4.1703,6.0,5.3753,5.3753,3.4885,3.7282,3.7282,3.7498,3.9744,3.9744,3.7114,3.7114,3.7498,3.2357,3.8344,4.7727,3.4384,3.6863,3.7275,3.5665,4.0532,4.7864,4.7864,3.7317,3.7317,3.6254,3.4106,4.2296,4.5759,3.5552,3.5552,3.6254,3.7869,3.6254,3.6254,3.8909,3.8909,3.7046,4.1516,3.7196,3.7196,5.2396,4.6943,4.6943,4.6943,3.3183,4.0345,3.2798,3.8978,3.6093,3.4909,4.0617,3.0655,2.3333,3.1825,3.6685
Volume Mult,1.25,1.0,2.5,float,Entry volume >= mult x volume MA,1.0926,1.0926,1.0926,1.0,1.0,1.0078,1.0926,1.0926,1.0926,1.1331,1.2352,1.0078,1.0078,1.0078,1.0078,1.0078,1.0078,1.0078,1.0078,1.0,1.0,1.2112,1.2082,1.0,1.0,1.0,1.0,1.2112,1.2112,1.2112,1.1676,1.0,1.0,1.2074,1.2074,1.1676,1.2063,1.0,1.0,1.189,1.1701,1.1494,1.0,1.0,1.0,1.0,1.1151,1.1151,1.1403,1.3492,1.1674,1.0063,1.0,1.0,1.1403,1.2247,1.1403,1.1403,1.0,1.0,1.0,1.0,1.0,1.4359,1.0729,1.2249,1.2249,1.2249,1.1865,1.0,1.03,1.0,1.0,1.1816,1.0,1.1816,1.1816,1.0,1.1702
