Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92
=== Strategy Config ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,1,0,1,int,Allow longs (optimizable),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Enable Short Trades,1,0,1,int,Allow shorts (two-sided),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Max Open Trades,1,1,1,int,LOCKED one position,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transaction Cost (Per Trade),15,15,15,float,Friction per round-trip,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Timeframe (minutes),5,3,15,int,Bar size (optimized),14,14,14,14,15,14,14,14,14,15,12,14,15,14,14,12,14,12,12,12,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,14,14,13,14,14,14,14,14,14,13,14,12,14,14,14,14,12,14,14,12,12,14,14,12,14,12,12,12,12,14,12,14,12
=== Entry: Multi-zone S/R Breakout ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Width ATR Mult,0.35,0.15,0.80,float,Half-width k of zone around wick extreme,0.7057,0.7671,0.781,0.8,0.7258,0.8,0.8,0.7072,0.8,0.7535,0.8,0.8,0.7535,0.7052,0.6948,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6441,0.8,0.6441,0.8,0.8,0.5126,0.8,0.8,0.8,0.8,0.8,0.8,0.622,0.622,0.4664,0.4664,0.4664,0.4664,0.4664,0.4664,0.4664,0.4664,0.8,0.5124,0.8,0.8,0.263,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7047,0.5754,0.8,0.8,0.6999,0.8,0.8,0.8,0.263,0.8,0.8,0.7047,0.4228,0.4522,0.8,0.8,0.2653,0.263,0.6128,0.2653,0.8,0.4522,0.526,0.263,0.2264,0.4522,0.8,0.4522,0.4522,0.4522,0.4522,0.2116,0.5765,0.2653,0.5718
Strength Threshold,2.0,1.0,6.0,float,Min zone strength for breakout entry,5.3202,4.4451,4.36,4.418,5.3517,4.5602,5.4663,5.7886,4.3173,4.9842,4.5403,5.0407,4.6852,5.4357,4.7959,5.3282,4.6023,4.1161,5.3282,5.3282,4.4714,4.2547,4.1476,4.3555,4.2861,4.4949,4.2861,4.4741,4.6539,4.2527,4.3547,4.3633,4.1434,4.5305,4.1562,4.4848,4.0947,4.0947,4.3466,4.3466,4.3466,4.3466,4.3466,4.2373,4.1568,4.0554,4.5333,4.4333,4.07,4.4451,4.1087,4.1397,4.148,4.2093,4.137,4.2295,2.9654,4.2564,4.627,4.3714,3.9108,3.8271,4.8801,4.1398,3.3962,3.6901,4.8909,3.821,4.0572,4.3927,4.1385,4.5845,2.7469,3.391,4.8864,4.1087,4.5591,4.8864,3.635,4.5974,4.2628,4.8909,4.1087,4.3629,2.7428,4.5591,4.5541,4.541,4.4845,4.1087,4.5614,4.8864,4.5445
Volume Mult,1.25,1.0,2.5,float,Entry volume >= mult x volume MA,1.301,1.0796,1.1898,1.3787,1.1879,1.19,1.1265,1.0005,1.0641,1.0,1.2545,1.0004,1.0,1.0119,1.0,1.1102,1.3896,1.0,1.1102,1.1102,1.524,1.4155,1.2838,1.3313,1.1996,1.3169,1.1996,1.3977,1.1854,1.3169,1.1799,1.1799,1.2089,1.0961,1.1259,1.131,1.0,1.1199,1.1795,1.1575,1.1795,1.1257,1.0583,1.0583,1.0583,1.0583,1.32,1.0035,1.3917,1.3113,1.2319,1.4085,1.2837,1.3113,1.3113,1.3023,1.0765,1.2844,1.0549,1.0039,1.3005,1.3886,1.0,1.1902,1.3005,1.41,1.0,1.2757,1.1902,1.0445,1.0,1.3125,1.2319,1.2026,1.0002,1.0,1.0,1.0564,1.1768,1.3155,1.3609,1.0,1.0,1.3155,1.154,1.2677,1.2675,1.2688,1.2669,1.0,1.3207,1.4053,1.2657
Dissipation (per bar),0.25,0.05,2.0,float,Linear strength loss per bar (max(0 strength - d)),0.0566,0.0735,0.05,0.0663,0.0551,0.05,0.05,0.0687,0.05,0.0616,0.0715,0.083,0.0616,0.0675,0.0527,0.056,0.05,0.0694,0.056,0.056,0.05,0.05,0.05,0.05,0.0546,0.05,0.0546,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0533,0.0533,0.0545,0.0545,0.0545,0.0545,0.0545,0.0545,0.0545,0.0545,0.05,0.053,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0506,0.05,0.0917,0.1023,0.05,0.05,0.0869,0.05,0.05,0.05,0.05,0.05,0.05,0.0917,0.05,0.1019,0.05,0.05,0.05,0.05,0.1019,0.05,0.05,0.1019,0.05,0.05,0.05,0.1019,0.05,0.1019,0.1019,0.1019,0.1019,0.05,0.0728,0.05,0.068
Stop Pad ATR,0.15,0.0,0.50,float,Stop beyond origin zone edge in ATR,0.0,0.2108,0.3921,0.3632,0.2638,0.5,0.2799,0.0,0.2287,0.2747,0.2513,0.2853,0.2747,0.0,0.16,0.2527,0.0419,0.2741,0.3659,0.3659,0.0335,0.0389,0.1472,0.1569,0.169,0.0925,0.5,0.5,0.0291,0.0262,0.0473,0.0473,0.4708,0.202,0.065,0.0,0.2142,0.2706,0.0,0.0,0.1717,0.0,0.0,0.0,0.0,0.0,0.0191,0.3915,0.0,0.0,0.2835,0.0,0.0207,0.0,0.0,0.0,0.0168,0.0,0.3412,0.3221,0.0,0.0,0.3141,0.0,0.0,0.0,0.1572,0.0,0.0,0.3412,0.2869,0.5,0.0132,0.0114,0.2307,0.2869,0.4234,0.2307,0.0,0.314,0.1273,0.0471,0.2869,0.277,0.0114,0.4234,0.3947,0.4375,0.4171,0.2869,0.3432,0.2307,0.3161
Max Hold (bars),24,6,60,int,Time exit,32,32,32,38,32,32,33,33,32,32,33,33,32,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,43,43,32,32,32,32,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,40,32,32,32,32,32,32,32,32,32,34,32,44,32,32,32,32,44,32,32,44,33,32,32,44,32,44,44,44,44,32,26,32,24
Min Opposite Zone Dist (ATR),0.5,0.5,0.5,float,LOCKED min room entry→opposite zone (ATR); blocks micro post-entry TP,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
=== Filters ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
