Name,Value,Min,Max,Type,Description
__indicatorName,BB Strategy,,,,Strategy identifier
=== ENTRY CRITERIA ===,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries
Enable Short Trades,true,false,true,bool,Allow short entries
Bollinger Band Length,5,5,15,int,Lookback period for BB
Bollinger Band StdDev,2.265,1,3,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting)
Long Entry on Wick Touch,1,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE"
Long Entry on Body in Zone,0,0,1,int,"Enter if close â¤ lower band (0=false, 1=true) - OPTIMIZABLE"
Long Trigger (% From Lower Band),0,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes)
Short Entry on Wick Touch,1,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE"
Short Entry on Body in Zone,0,0,1,int,"Enter if close â¥ upper band (0=false, 1=true) - OPTIMIZABLE"
Short Trigger (% From Upper Band),0,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes)
ATR Length for Filter,14,10,100,int,ATR period for entry filter (separate from trailing stop ATR)
Max ATR Filter (Points),4.0189,0.5,6,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points
Min ATR Filter (Points),1.4812,0.5,1.5,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter
Enable Trend Filter,0,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE"
Trend EMA Length,43,30,200,int,EMA Length for trend filter
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE
ADX Period,20,10,30,int,Lookback period for ADX calculation
Max ADX Threshold,21,15,25,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time)
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time)
Enable RTH Filter,0,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE"
RTH Exit Buffer (minutes),20,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close)
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET)
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET)
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)"
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET)
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)"
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET)
