Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger Band Length,30,20,100,int,Lookback period for BB,84,84,76,77,75,76,85,76,85,76,80,74,80,79,76,80,84,84,77,75,77,81,82,80,80,77,77,85,80,78,82,84,80,79,80,81,75,75,81,78,78,78,78,78,85,78,78,78,78,78,85,85,85,78,85,84,78,78,84,84,84,84,84,84
Bollinger Band StdDev,2.0,1.5,3.0,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),1.5,1.5,1.833,1.5,1.5058,1.5362,2.0149,2.07,1.9676,1.5268,1.7183,1.532,1.5455,1.624,1.5245,1.7188,1.7806,1.64,1.889,1.607,1.889,1.6064,1.7467,1.6136,1.7183,1.7189,1.6122,1.6324,1.716,1.6015,1.7677,2.2062,1.7605,1.5474,1.7593,1.6034,1.5524,1.5524,1.6814,1.5573,1.5573,1.5573,1.5573,1.5573,1.6064,1.5573,1.5573,1.5573,1.5573,1.5573,1.6064,1.6064,1.6064,1.5573,1.5414,1.5,1.5573,1.5573,1.5,1.5,1.5,1.5,1.5,1.5
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Long Trigger (% From Lower Band),0.5,0,2.0,float,% below lower band to trigger (min 0.5% to avoid band extremes),0.2511,0.2511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728,0.0728,0.0,0.2298,0.2365,0.2366,0.2298,0.236,0.2279,0.236,0.236,0.236,0.236,0.236,0.2279,0.2279,0.2279,0.236,0.2192,0.2226,0.2381,0.2381,0.2513,0.2507,0.2511,0.2511,0.2511,0.2505
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
