Name,Value,Min,Max,Type,Description
=== Strategy Config ===,,,,,
Enable Long Trades,True,,,bool,Allow long entries
Enable Short Trades,True,,,bool,Allow short entries
Max Open Trades,1,1,1,int,Max concurrent trades (1 means FIFO/Replace)
Transaction Cost (Per Trade),15,15,15,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5
Timeframe (minutes),13,1,15,int,Fixed timeframe
=== Entry Logic ===,,,,,
Buy Lookback,124,100,500,int,Donchian/Dual Thrust Lookback for Longs
Sell Lookback,243,100,500,int,Donchian/Dual Thrust Lookback for Shorts
Enable ADX Filter,0,0,1,int,Filter trending markets only
ADX Period,8,8,25,int,ADX calculation period
Min ADX Threshold,5,5,35,float,Minimum ADX to trade
ATR Filter Period,3,1,12,int,For volatility normalization
Min ATR (Points),1.9926,0,5,float,Minimum volatility required to trade
Enable SMA Filter,1,0,1,int,Trend Regime Filter (Major Trend)
SMA Period,263,50,350,int,Lookback for Regime SMA
Enable Volume Filter,0,0,1,int,Volume Breakout Validation
Volume MA Length,13,8,50,int,Lookback for Avg Volume
Min Volume Multiplier,1.091,1,4,float,Breakout Vol > Avg Vol * Mult
Enable RSI Filter,1,1,1,int,Filter entries using RSI (0=False 1=True)
RSI Period,21,5,30,int,RSI calculation period
RSI Max Buy Threshold,94.7264,50,95,float,RSI must be below this to buy (exhaustion)
RSI Min Sell Threshold,20.1081,15,50,float,RSI must be above this to sell
Enable VWAP Filter,0,0,1,int,Filter entries relative to VWAP (0=False 1=True)
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time)
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time)
Enable RTH Filter,0,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE"
RTH Exit Buffer (minutes),3,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close)
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET)
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET)
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)"
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET)
