Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,27,29,14,11,12,1,29,25,7,8,27,27,16,22,1,11,12
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),1.2107,4.0,1.842,2.4571,3.7335,2.3136,3.7337,3.9698,1.5692,1.3592,1.2107,2.479,4.0,2.4367,3.6106,2.4571,3.7335
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),1.2448,1.0845,1.0841,0.4703,0.9568,0.0164,0.2384,1.5739,0.8995,1.0652,1.2448,1.0832,1.0854,0.2316,0.0233,0.4703,0.9568
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),1.6289,0.9948,0.5904,0.4319,0.1969,2.0,2.0,1.6653,1.3474,1.1041,1.9323,1.5852,0.0,2.0,2.0,0.2588,0.1969
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),6,12,14,7,17,16,9,18,6,20,6,8,18,7,18,7,17
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,7.1994,4.5947,3.6771,2.7585,3.698,2.158,2.4505,3.3498,8.1097,8.9564,7.1994,4.7659,3.5059,2.4428,2.1656,2.5662,3.698
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,1.5742,5.1058,4.7997,2.8943,5.399,4.9041,3.7475,2.8846,3.3085,1.2816,1.8552,4.5334,5.3721,3.1259,5.5258,2.8943,5.399
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Trend EMA Length,200,10,400,int,EMA Length for trend filter,185,27,137,37,54,30,361,10,300,294,185,145,19,33,358,37,54
