Name,Value,Min,Max,Type,Description,Solution_0,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8_SELECTED,Solution_9
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,15,26,25,13,15,27,5,19,15,16
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),0.1935,3.0487,3.3078,2.7536,0.9386,2.0331,0.8483,2.205,1.0384,0.7334
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,1,0,1,1,0,0,1,1,1
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,1,0,1,1,0,0
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),1.36,1.6915,0.816,1.8768,1.3117,1.6883,0.9425,1.7899,0.0,0.0959
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",0,0,1,0,1,1,0,0,1,1
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",0,0,1,1,1,1,0,1,1,0
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),0.7516,0.4582,1.1461,0.0984,1.8906,1.4743,1.3713,1.2671,1.7837,0.0624
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),11,13,9,10,18,7,20,7,8,8
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,3.0449,2.6867,4.2451,7.6548,5.4141,5.1801,6.0935,7.937,10.0,8.9761
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,0.5228,1.8175,0.827,2.5367,3.8878,0.4132,2.0808,1.0199,3.1829,2.624
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",1,1,0,0,1,0,1,1,1,0
Trend EMA Length,200,10,400,int,EMA Length for trend filter,97,366,288,169,397,360,222,282,394,395
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,0,0,1,0,0,0,0,1,0,0
ADX Period,14,5,35,int,Lookback period for ADX calculation,21,10,17,33,11,33,24,24,6,29
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,12,25,38,35,10,42,31,43,22,23
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",1,0,0,1,0,0,1,1,0,1
